BSSID,SSID,Building,Floor,Location_x,Location_y,Frequency,AccX,AccY,AccZ,ORIx,ORIy,ORIz,Level,GeoX,GeoY,GeoZ,Model,Time
44:6a:2e:07:41:90,XJTLU,IBSS,4N-right,50,5,5765,-9.6398,-0.4522,1.7434,9.625493606711952,2.642945114431019,-79.74861939053022,-84,22.4375,21.4375,-7.5625,EVA-AL10,1534321190602
44:6a:2e:09:f6:20,XJTLU,IBSS,4N-right,50,5,2437,-9.689199,-0.16399999,1.504,358.5707467375166,0.9582262351247179,-81.1767163233315,-92,31.3125,39.5625,-3.875,EVA-AL10,1534321585008
44:6a:2e:07:40:91,eduroam,IBSS,4N-right,50,5,5785,-9.5898,-0.594,1.9627999,346.0914621044077,3.4726092601295258,-78.43270148465722,-79,37.875,36.1875,0.8125,EVA-AL10,1534322123720
44:6a:2e:09:c5:c1,eduroam,IBSS,4N-right,50,5,2437,-9.3139,0.6077,3.0086,353.7073821492736,-3.5528022977312337,-72.09837038800906,-89,41.6875,35.4375,-9.0625,EVA-AL10,1534321738582
00:06:f4:b8:1b:c0,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:bf:11,eduroam,IBSS,4N-right,50,5,5745,-9.506,-0.306,2.3897998,1.1246451816342538,1.7881231408635339,-75.88833307542241,-87,42.125,37.0625,-11.3125,EVA-AL10,1534321787143
00:06:f4:b8:11:41,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:c4:81,eduroam,IBSS,4N-right,50,5,2462,-9.6431,-0.1007,1.7801,347.9029606072103,0.588360979480508,-79.5410362812752,-88,41.75,30.625,-1.125,EVA-AL10,1534321949220
00:36:76:5e:d2:39,Winter,IBSS,4N-right,50,5,2437,-9.6739,-0.61719996,1.4847,346.8307216528085,3.6084171130480627,-81.27462025489447,-78,38.75,36.5625,2.125,EVA-AL10,1534322139520
00:06:f4:b8:0f:91,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:c4:60,XJTLU,IBSS,4N-right,50,5,2437,-9.6859,-0.5078,1.4469999,347.8215789032496,2.9682029915752572,-81.50328132792815,-78,39.3125,36.125,1.5625,EVA-AL10,1534322139685
44:6a:2e:09:c1:41,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:c2:71,eduroam,IBSS,4N-right,50,5,5765,-9.3314,-0.5517,2.9647,357.94536810708615,3.22505951238958,-72.37431003047757,-85,32.75,34.3125,-9.1875,EVA-AL10,1534322014443
44:6a:2e:09:c0:01,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:c4:f1,eduroam,IBSS,4N-right,50,5,5745,-9.6401,-0.79649997,1.6132,346.14605836776457,4.658767018707208,-80.49999484074498,-76,43.0625,34.125,0.4375,EVA-AL10,1534322165036
a4:c6:4f:d5:ef:b1,eduroam,IBSS,4N-right,50,5,5805,-9.615399,-0.853,1.7278999,348.67734184209695,4.990027351471419,-79.8126046026749,-77,43.625,34.4375,-1.625,EVA-AL10,1534322164258
00:06:f4:b8:1a:91,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:f7:d1,eduroam,IBSS,4N-right,50,5,5805,-9.758599,-0.8445,0.4759,348.353381700895,4.940158432793863,-87.20805339820873,-76,40.0625,35.4375,4.625,EVA-AL10,1534322151267
44:6a:2e:07:43:91,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:07:40:50,XJTLU,IBSS,4N-right,50,5,5785,-9.5819,0.13499999,2.0827,1.1786023954168852,-0.7887753249539311,-77.73706037806977,-83,37.5625,36.1875,-8.9375,EVA-AL10,1534321642439
44:6a:2e:09:c5:d1,eduroam,IBSS,4N-right,50,5,5785,-9.4669,-0.1969,2.5513,347.6824266055153,1.1504757831364785,-74.91729874150003,-83,40.1875,34.875,-3.125,EVA-AL10,1534322138171
44:6a:2e:09:c7:a0,XJTLU,IBSS,4N-right,50,5,2412,9.5981,-0.8243,1.8345,14.33039769948895,4.821748138908407,79.1794733873714,-89,-29.8125,29.5,1.3125,EVA-AL10,1534319592954
44:6a:2e:09:f2:a0,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
b0:d5:9d:ce:aa:37,WiFi-07,IBSS,4N-right,50,5,2437,-0.1418,-1.5162,9.6876,170.18954475687855,8.894226233413706,-0.8385938709863578,-91,-4.4375,-22.9375,-43.0,EVA-AL10,1534317498271
44:6a:2e:07:14:80,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:d6:f0,XJTLU,IBSS,4N-right,50,5,5745,-0.2677,1.7162,9.6515,40.31943995366401,-10.078975478918485,-1.588783963215006,-84,-23.6875,22.9375,-38.1875,EVA-AL10,1534321607029
44:6a:2e:09:c4:b1,eduroam,IBSS,4N-right,50,5,5765,-9.6299,-0.8038,1.67,345.82129738688246,4.701520587816903,-80.16171606172176,-62,43.5,34.75,0.4375,EVA-AL10,1534322164868
44:6a:2e:07:14:a0,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:07:40:90,XJTLU,IBSS,4N-right,50,5,5785,-9.5873995,-0.598,1.9713999,346.16451951531747,3.511833542429028,-78.38079887715429,-79,37.6875,35.875,0.6875,EVA-AL10,1534322123760
44:6a:2e:07:3b:b0,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
00:06:f4:b8:17:f0,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:c0:c1,eduroam,IBSS,4N-right,50,5,2412,-9.688499,-0.5452,1.4158,348.1767427636747,3.187025177109541,-81.68609817125271,-86,39.4375,36.25,1.4375,EVA-AL10,1534322139807
ac:4e:91:61:21:01,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:c3:a1,eduroam,IBSS,4N-right,50,5,2462,9.6143,0.0799,1.9309,13.276077746374735,-0.46682646101915226,78.64400021682074,-89,-31.9375,27.4375,0.25,EVA-AL10,1534320683256
a4:c6:4f:d5:fb:61,eduroam,IBSS,4N-right,50,5,2462,0.0356,-1.6610999,9.6648,190.91160468073255,9.752144096944205,0.21104632198912812,-89,5.125,-21.25,-37.5625,EVA-AL10,1534317081878
